k,bic,aic,silhouette,minimum_cluster_share,bic_improvement_over_k1,bootstrap_median_ari,valid_bootstraps
1,201.47270410153382,192.90484376801228,,1.0,,,
2,183.90067104090798,165.0513783071606,0.726148299703029,0.024390243902439025,17.57203306062584,0.6376491383119752,500.0
3,199.12967475783927,169.99894962386603,0.39751138912754846,0.024390243902439025,,,
